ST	ASP	GLN	GLT	GLY	PGM	TKT	UNC	group
48	2	4	1	2	7	1	5	0
53	2	1	21	3	2	1	5	0
661	2	75	4	48	103	34	1	0
791	7	97	5	2	135	68	26	0
48	2	4	1	2	7	1	5	0
561	2	1	21	4	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
2265	14	17	5	2	11	8	6	0
233	2	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
22	1	3	6	4	3	3	3	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
507	2	1	21	89	2	1	5	0
53	2	1	21	3	2	1	5	0
21	2	1	1	3	2	1	5	0
1509	4	7	10	4	1	202	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
11	48	7	10	4	1	7	1	0
2963	2	2	21	3	2	1	6	0
5	7	2	5	2	10	3	6	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
52	9	25	2	10	22	3	6	0
257	9	2	4	62	4	5	6	0
104	2	1	1	3	7	1	5	0
61	1	4	2	2	6	3	17	0
257	9	2	4	62	4	5	6	0
466	2	1	5	2	11	1	26	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
104	2	1	1	3	7	1	5	0
53	2	1	21	3	2	1	5	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
262	2	1	1	3	2	1	3	0
104	2	1	1	3	7	1	5	0
42	1	2	3	4	5	9	3	0
53	2	1	21	3	2	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
262	2	1	1	3	2	1	3	0
104	2	1	1	3	7	1	5	0
104	2	1	1	3	7	1	5	0
574	7	53	2	10	11	3	3	0
47	2	1	1	5	2	1	5	0
206	2	21	5	37	2	1	5	0
19	2	1	5	3	2	1	5	0
21	2	1	1	3	2	1	5	0
137	4	7	10	4	42	7	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
572	62	4	5	2	2	1	5	0
1510	9	2	5	10	10	3	1	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
19	2	1	5	3	2	1	5	0
257	9	2	4	62	4	5	6	0
61	1	4	2	2	6	3	17	0
267	4	7	40	4	42	51	1	0
574	7	53	2	10	11	3	3	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
262	2	1	1	3	2	1	3	0
508	1	6	60	24	12	28	1	0
51	7	17	2	15	23	3	12	0
45	4	7	10	4	1	7	1	0
1511	8	173	5	3	2	1	1	0
916	2	1	21	3	2	123	5	0
53	2	1	21	3	2	1	5	0
354	8	10	2	2	11	12	6	0
42	1	2	3	4	5	9	3	0
61	1	4	2	2	6	3	17	0
361	9	2	2	62	4	5	6	0
50	2	1	12	3	2	1	5	0
45	4	7	10	4	1	7	1	0
22	1	3	6	4	3	3	3	0
11	48	7	10	4	1	7	1	0
48	2	4	1	2	7	1	5	0
137	4	7	10	4	42	7	1	0
48	2	4	1	2	7	1	5	0
19	2	1	5	3	2	1	5	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
230	4	7	41	4	42	7	1	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
19	2	1	5	3	2	1	5	0
356	14	17	5	2	11	3	6	0
206	2	21	5	37	2	1	5	0
42	1	2	3	4	5	9	3	0
257	9	2	4	62	4	5	6	0
607	8	2	5	53	11	3	1	0
61	1	4	2	2	6	3	17	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
42	1	2	3	4	5	9	3	0
19	2	1	5	3	2	1	5	0
448	61	70	22	18	2	74	47	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
137	4	7	10	4	42	7	1	0
1512	7	53	2	10	2	3	3	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
1513	2	1	40	3	2	1	5	0
137	4	7	10	4	42	7	1	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
267	4	7	40	4	42	51	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
354	8	10	2	2	11	12	6	0
19	2	1	5	3	2	1	5	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
538	4	7	10	4	42	25	1	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
1514	7	43	2	10	11	3	3	0
48	2	4	1	2	7	1	5	0
583	4	7	10	4	42	51	1	0
583	4	7	10	4	42	51	1	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
1515	10	54	43	19	10	5	130	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
45	4	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
1516	2	1	10	97	2	1	5	0
48	2	4	1	2	7	1	5	0
661	2	75	4	48	103	34	1	0
257	9	2	4	62	4	5	6	0
48	2	4	1	2	7	1	5	0
531	2	71	5	62	11	67	6	0
53	2	1	21	3	2	1	5	0
48	2	4	1	2	7	1	5	0
48	2	4	1	2	7	1	5	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
581	7	15	5	62	67	3	6	0
21	2	1	1	3	2	1	5	0
50	2	1	12	3	2	1	5	0
658	2	4	2	4	19	3	6	0
22	1	3	6	4	3	3	3	0
48	2	4	1	2	7	1	5	0
450	47	55	5	10	11	48	8	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
137	4	7	10	4	42	7	1	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
574	7	53	2	10	11	3	3	0
21	2	1	1	3	2	1	5	0
132	1	6	22	24	12	28	1	0
21	2	1	1	3	2	1	5	0
393	24	17	2	10	23	68	5	0
53	2	1	21	3	2	1	5	0
1517	8	10	149	2	11	12	6	0
1518	2	4	10	2	7	1	5	0
19	2	1	5	3	2	1	5	0
50	2	1	12	3	2	1	5	0
206	2	21	5	37	2	1	5	0
50	2	1	12	3	2	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
104	2	1	1	3	7	1	5	0
104	2	1	1	3	7	1	5	0
137	4	7	10	4	42	7	1	0
267	4	7	40	4	42	51	1	0
21	2	1	1	3	2	1	5	0
1519	8	1	5	3	2	1	1	0
393	24	17	2	10	23	68	5	0
2964	2	4	1	62	7	1	5	0
50	2	1	12	3	2	1	5	0
53	2	1	21	3	2	1	5	0
48	2	4	1	2	7	1	5	0
1520	4	7	10	4	96	51	1	0
607	8	2	5	53	11	3	1	0
1521	9	84	16	10	11	3	5	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
618	1	4	2	2	6	3	5	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
206	2	21	5	37	2	1	5	0
21	2	1	1	3	2	1	5	0
267	4	7	40	4	42	51	1	0
21	2	1	1	3	2	1	5	0
354	8	10	2	2	11	12	6	0
1286	95	2	94	127	172	144	114	0
53	2	1	21	3	2	1	5	0
104	2	1	1	3	7	1	5	0
206	2	21	5	37	2	1	5	0
572	62	4	5	2	2	1	5	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
257	9	2	4	62	4	5	6	0
1076	7	4	2	2	11	3	5	0
393	24	17	2	10	23	68	5	0
658	2	4	2	4	19	3	6	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
677	10	81	50	99	120	76	52	0
48	2	4	1	2	7	1	5	0
50	2	1	12	3	2	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
233	2	7	10	4	1	7	1	0
53	2	1	21	3	2	1	5	0
583	4	7	10	4	42	51	1	0
48	2	4	1	2	7	1	5	0
572	62	4	5	2	2	1	5	0
21	2	1	1	3	2	1	5	0
677	10	81	50	99	120	76	52	0
53	2	1	21	3	2	1	5	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
354	8	10	2	2	11	12	6	0
262	2	1	1	3	2	1	3	0
658	2	4	2	4	19	3	6	0
49	3	1	5	17	11	11	6	0
48	2	4	1	2	7	1	5	0
38	2	4	2	2	6	1	5	0
22	1	3	6	4	3	3	3	0
1522	7	84	5	2	11	203	6	0
1523	4	7	10	4	42	53	1	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
441	7	1	2	83	2	3	6	0
49	3	1	5	17	11	11	6	0
49	3	1	5	17	11	11	6	0
21	2	1	1	3	2	1	5	0
1524	2	21	5	37	239	1	5	0
584	8	2	5	62	4	5	1	0
1525	2	59	4	27	128	7	23	0
21	2	1	1	3	2	1	5	0
19	2	1	5	3	2	1	5	0
45	4	7	10	4	1	7	1	0
19	2	1	5	3	2	1	5	0
50	2	1	12	3	2	1	5	0
50	2	1	12	3	2	1	5	0
350	7	4	6	68	93	3	46	0
21	2	1	1	3	2	1	5	0
290	2	21	5	3	23	1	5	0
53	2	1	21	3	2	1	5	0
403	10	27	16	19	10	5	7	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
22	1	3	6	4	3	3	3	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
53	2	1	21	3	2	1	5	0
45	4	7	10	4	1	7	1	0
51	7	17	2	15	23	3	12	0
48	2	4	1	2	7	1	5	0
104	2	1	1	3	7	1	5	0
104	2	1	1	3	7	1	5	0
693	2	29	4	48	13	24	57	0
257	9	2	4	62	4	5	6	0
760	2	1	52	3	2	100	5	0
227	2	4	5	2	2	1	5	0
45	4	7	10	4	1	7	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
353	7	17	5	2	10	3	6	0
19	2	1	5	3	2	1	5	0
21	2	1	1	3	2	1	5	0
2965	47	55	5	10	11	1	8	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
572	62	4	5	2	2	1	5	0
53	2	1	21	3	2	1	5	0
257	9	2	4	62	4	5	6	0
22	1	3	6	4	3	3	3	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
572	62	4	5	2	2	1	5	0
122	6	4	5	2	2	1	5	0
104	2	1	1	3	7	1	5	0
19	2	1	5	3	2	1	5	0
5	7	2	5	2	10	3	6	0
104	2	1	1	3	7	1	5	0
574	7	53	2	10	11	3	3	0
3076	2	4	1	93	258	3	6	0
51	7	17	2	15	23	3	12	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
658	2	4	2	4	19	3	6	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
19	2	1	5	3	2	1	5	0
1859	1	4	16	2	7	51	5	0
61	1	4	2	2	6	3	17	0
257	9	2	4	62	4	5	6	0
584	8	2	5	62	4	5	1	0
53	2	1	21	3	2	1	5	0
61	1	4	2	2	6	3	17	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
2251	2	2	1	3	7	1	5	0
53	2	1	21	3	2	1	5	0
22	1	3	6	4	3	3	3	0
45	4	7	10	4	1	7	1	0
267	4	7	40	4	42	51	1	0
449	7	71	5	62	11	67	6	0
104	2	1	1	3	7	1	5	0
5	7	2	5	2	10	3	6	0
205	2	4	1	2	7	51	5	0
311	1	4	2	4	3	3	6	0
257	9	2	4	62	4	5	6	0
443	24	17	2	15	23	3	12	0
584	8	2	5	62	4	5	1	0
104	2	1	1	3	7	1	5	0
572	62	4	5	2	2	1	5	0
45	4	7	10	4	1	7	1	0
205	2	4	1	2	7	51	5	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
61	1	4	2	2	6	3	17	0
2268	103	84	2	10	119	178	26	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
48	2	4	1	2	7	1	5	0
1526	7	71	5	190	11	67	1	0
52	9	25	2	10	22	3	6	0
205	2	4	1	2	7	51	5	0
1527	9	4	2	2	86	3	1	0
356	14	17	5	2	11	3	6	0
205	2	4	1	2	7	51	5	0
61	1	4	2	2	6	3	17	0
21	2	1	1	3	2	1	5	0
61	1	4	2	2	6	3	17	0
2966	24	21	2	2	89	5	6	0
48	2	4	1	2	7	1	5	0
61	1	4	2	2	6	3	17	0
104	2	1	1	3	7	1	5	0
205	2	4	1	2	7	51	5	0
22	1	3	6	4	3	3	3	0
45	4	7	10	4	1	7	1	0
400	8	17	5	2	10	59	6	0
466	2	1	5	2	11	1	26	0
205	2	4	1	2	7	51	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
42	1	2	3	4	5	9	3	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
2267	62	114	5	2	2	1	5	0
21	2	1	1	3	2	1	5	0
262	2	1	1	3	2	1	3	0
354	8	10	2	2	11	12	6	0
21	2	1	1	3	2	1	5	0
19	2	1	5	3	2	1	5	0
21	2	1	1	3	2	1	5	0
595	7	2	1	2	10	3	6	0
606	24	21	2	2	89	59	6	0
508	1	6	60	24	12	28	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
51	7	17	2	15	23	3	12	0
982	2	1	2	3	2	1	5	0
508	1	6	60	24	12	28	1	0
584	8	2	5	62	4	5	1	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
42	1	2	3	4	5	9	3	0
48	2	4	1	2	7	1	5	0
22	1	3	6	4	3	3	3	0
257	9	2	4	62	4	5	6	0
584	8	2	5	62	4	5	1	0
584	8	2	5	62	4	5	1	0
104	2	1	1	3	7	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
50	2	1	12	3	2	1	5	0
45	4	7	10	4	1	7	1	0
50	2	1	12	3	2	1	5	0
19	2	1	5	3	2	1	5	0
49	3	1	5	17	11	11	6	0
574	7	53	2	10	11	3	3	0
584	8	2	5	62	4	5	1	0
104	2	1	1	3	7	1	5	0
21	2	1	1	3	2	1	5	0
48	2	4	1	2	7	1	5	0
584	8	2	5	62	4	5	1	0
19	2	1	5	3	2	1	5	0
574	7	53	2	10	11	3	3	0
1709	22	15	4	64	74	25	23	0
48	2	4	1	2	7	1	5	0
45	4	7	10	4	1	7	1	0
104	2	1	1	3	7	1	5	0
584	8	2	5	62	4	5	1	0
257	9	2	4	62	4	5	6	0
356	14	17	5	2	11	3	6	0
1925	9	17	2	10	11	3	3	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
104	2	1	1	3	7	1	5	0
50	2	1	12	3	2	1	5	0
584	8	2	5	62	4	5	1	0
222	2	21	5	2	59	1	5	0
53	2	1	21	3	2	1	5	0
474	2	4	1	2	2	1	5	0
1920	9	2	4	62	7	5	5	0
53	2	1	21	3	2	1	5	0
583	4	7	10	4	42	51	1	0
257	9	2	4	62	4	5	6	0
584	8	2	5	62	4	5	1	0
584	8	2	5	62	4	5	1	0
1929	22	61	4	64	141	25	23	0
875	47	4	5	10	23	120	8	0
257	9	2	4	62	4	5	6	0
354	8	10	2	2	11	12	6	0
1873	2	4	1	2	7	61	44	0
1921	9	2	4	62	4	5	8	0
188	2	1	1	3	2	1	1	0
1868	2	1	21	3	2	1	6	0
1855	1	2	3	4	5	5	3	0
1905	7	21	5	62	4	61	1	0
1902	7	17	5	2	23	3	1	0
1922	9	2	4	62	4	5	5	0
1866	2	1	5	3	2	5	6	0
257	9	2	4	62	4	5	6	0
8	2	1	1	3	2	1	6	0
2967	47	55	5	10	11	48	1	0
257	9	2	4	62	4	5	6	0
1712	9	2	4	62	4	5	1	0
1854	1	1	42	4	98	58	5	0
1517	8	10	149	2	11	12	6	0
1870	2	2	1	93	11	3	6	0
1903	7	17	5	2	86	3	6	0
1923	9	2	5	62	4	5	6	0
19	2	1	5	3	2	1	5	0
1893	4	2	10	4	1	7	6	0
1914	8	2	5	53	11	3	5	0
104	2	1	1	3	7	1	5	0
1922	9	2	4	62	4	5	5	0
1892	4	1	41	4	42	7	5	0
1860	2	1	1	3	7	1	34	0
1927	10	27	89	19	10	132	1	0
1861	2	1	1	3	7	1	7	0
1871	2	2	1	3	7	1	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
1882	2	10	5	3	2	1	6	0
1872	2	2	1	3	2	1	105	0
1886	2	75	21	48	103	34	5	0
1913	8	1	6	3	2	1	5	0
262	2	1	1	3	2	1	3	0
257	9	2	4	62	4	5	6	0
1857	1	3	6	4	3	9	3	0
1891	4	1	10	4	1	7	5	0
1894	4	4	10	4	1	7	6	0
21	2	1	1	3	2	1	5	0
1930	24	21	2	2	89	59	5	0
1897	7	1	2	3	23	3	5	0
21	2	1	1	3	2	1	5	0
206	2	21	5	37	2	1	5	0
257	9	2	4	62	4	5	6	0
1910	7	71	5	2	10	3	6	0
61	1	4	2	2	6	3	17	0
1934	33	39	5	2	113	47	17	0
1928	22	15	4	64	11	25	23	0
2968	190	55	5	10	11	68	6	0
574	7	53	2	10	11	3	3	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
48	2	4	1	2	7	1	5	0
1519	8	1	5	3	2	1	1	0
257	9	2	4	62	4	5	6	0
1710	2	71	5	62	22	67	6	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
1933	33	2	1	3	10	3	6	0
1517	8	10	149	2	11	12	6	0
1858	1	3	6	4	11	48	8	0
1862	2	1	1	3	3	3	3	0
104	2	1	1	3	7	1	5	0
1917	9	2	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
22	1	3	6	4	3	3	3	0
205	2	4	1	2	7	51	5	0
356	14	17	5	2	11	3	6	0
104	2	1	1	3	7	1	5	0
53	2	1	21	3	2	1	5	0
441	7	1	2	83	2	3	6	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
508	1	6	60	24	12	28	1	0
25	4	7	10	1	1	7	1	0
450	47	55	5	10	11	48	8	0
48	2	4	1	2	7	1	5	0
50	2	1	12	3	2	1	5	0
104	2	1	1	3	7	1	5	0
531	2	71	5	62	11	67	6	0
50	2	1	12	3	2	1	5	0
104	2	1	1	3	7	1	5	0
50	2	1	12	3	2	1	5	0
1519	8	1	5	3	2	1	1	0
21	2	1	1	3	2	1	5	0
5	7	2	5	2	10	3	6	0
61	1	4	2	2	6	3	17	0
45	4	7	10	4	1	7	1	0
22	1	3	6	4	3	3	3	0
520	2	1	12	88	2	1	5	0
45	4	7	10	4	1	7	1	0
104	2	1	1	3	7	1	5	0
205	2	4	1	2	7	51	5	0
1476	8	1	2	2	11	12	6	0
508	1	6	60	24	12	28	1	0
267	4	7	40	4	42	51	1	0
48	2	4	1	2	7	1	5	0
50	2	1	12	3	2	1	5	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
508	1	6	60	24	12	28	1	0
104	2	1	1	3	7	1	5	0
584	8	2	5	62	4	5	1	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
132	1	6	22	24	12	28	1	0
22	1	3	6	4	3	3	3	0
104	2	1	1	3	7	1	5	0
44	8	1	6	3	2	1	1	0
324	57	17	2	2	11	12	6	0
574	7	53	2	10	11	3	3	0
19	2	1	5	3	2	1	5	0
45	4	7	10	4	1	7	1	0
45	4	7	10	4	1	7	1	0
51	7	17	2	15	23	3	12	0
1721	7	78	42	4	106	12	8	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
21	2	1	1	3	2	1	5	0
267	4	7	40	4	42	51	1	0
21	2	1	1	3	2	1	5	0
324	57	17	2	2	11	12	6	0
262	2	1	1	3	2	1	3	0
21	2	1	1	3	2	1	5	0
257	9	2	4	62	4	5	6	0
137	4	7	10	4	42	7	1	0
21	2	1	1	3	2	1	5	0
1919	9	2	2	10	10	3	5	0
61	1	4	2	2	6	3	17	0
50	2	1	12	3	2	1	5	0
19	2	1	5	3	2	1	5	0
257	9	2	4	62	4	5	6	0
51	7	17	2	15	23	3	12	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
45	4	7	10	4	1	7	1	0
524	8	17	5	2	10	3	1	0
267	4	7	40	4	42	51	1	0
21	2	1	1	3	2	1	5	0
47	2	1	1	5	2	1	5	0
51	7	17	2	15	23	3	12	0
324	57	17	2	2	11	12	6	0
104	2	1	1	3	7	1	5	0
262	2	1	1	3	2	1	3	0
305	9	53	2	10	11	3	3	0
21	2	1	1	3	2	1	5	0
104	2	1	1	3	7	1	5	0
523	2	4	1	93	11	3	6	0
42	1	2	3	4	5	9	3	0
768	7	2	5	72	22	102	6	0
1316	95	2	94	127	181	144	110	0
45	4	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
574	7	53	2	10	11	3	3	0
270	10	27	43	19	6	18	7	0
233	2	7	10	4	1	7	1	0
21	2	1	1	3	2	1	5	0
262	2	1	1	3	2	1	3	0
878	9	2	2	2	11	61	6	0
403	10	27	16	19	10	5	7	0
21	2	1	1	3	2	1	5	0
574	7	53	2	10	11	3	3	0
52	9	25	2	10	22	3	6	0
324	57	17	2	2	11	12	6	0
19	2	1	5	3	2	1	5	0
48	2	4	1	2	7	1	5	0
325	7	28	4	28	84	34	35	0
48	2	4	1	2	7	1	5	0
584	8	2	5	62	4	5	1	0
21	2	1	1	3	2	1	5	0
450	47	55	5	10	11	48	8	0
50	2	1	12	3	2	1	5	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
45	4	7	10	4	1	7	1	0
1889	3	1	5	17	11	11	8	0
257	9	2	4	62	4	5	6	0
21	2	1	1	3	2	1	5	0
52	9	25	2	10	22	3	6	0
520	2	1	12	88	2	1	5	0
267	4	7	40	4	42	51	1	0
1900	7	4	2	2	19	1	6	0
53	2	1	21	3	2	1	5	0
48	2	4	1	2	7	1	5	0
47	2	1	1	5	2	1	5	0
572	62	4	5	2	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
48	2	4	1	2	7	1	5	0
50	2	1	12	3	2	1	5	0
206	2	21	5	37	2	1	5	0
21	2	1	1	3	2	1	5	0
53	2	1	21	3	2	1	5	0
2238	7	60	6	62	1	67	6	0
257	9	2	4	62	4	5	6	0
227	2	4	5	2	2	1	5	0
1875	2	4	5	3	2	1	5	0
97	4	7	10	4	1	1	1	0
1901	7	4	5	2	11	1	25	0
21	2	1	1	3	2	1	5	0
1911	7	84	5	10	119	178	26	0
1519	8	1	5	3	2	1	1	0
19	2	1	5	3	2	1	5	0
583	4	7	10	4	42	51	1	0
334	4	7	40	4	42	7	1	0
50	2	1	12	3	2	1	5	0
51	7	17	2	15	23	3	12	0
19	2	1	5	3	2	1	5	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
257	9	2	4	62	4	5	6	0
2288	8	10	2	2	347	1	6	0
